CustomerKey,CustomerCode,ShopName,OwnerName,City,Province,CustomerType,JoinDate,CreditLimit
1,CUST-0001,بازار پخش اسباب‌بازی اهواز,مهدی حسینی,اهواز,خوزستان,عمده‌فروش,1403/08/13,193524658
2,CUST-0002,کلبه اسباب‌بازی قم,ناصر جعفری,قم,قم,عمده‌فروش,1403/02/02,475850010
3,CUST-0003,پخش کودک تبریز,حمید قاسمی,تبریز,آذربایجان شرقی,خاص,1403/01/28,368677031
4,CUST-0004,کلبه بازی زاهدان,رضا صادقی,زاهدان,سیستان و بلوچستان,خرده‌فروش,1404/08/22,303342657
5,CUST-0005,مرکز پخش اسباب‌بازی تهران,سعید موسوی,تهران,تهران,عمده‌فروش,1403/10/09,86449133
6,CUST-0006,بچه‌ها اسباب‌بازی همدان,محمد جعفری,همدان,همدان,خرده‌فروش,1403/04/07,86437314
7,CUST-0007,دنیای تویز سنندج,مصطفی احمدی,سنندج,کردستان,خاص,1404/04/12,38460969
8,CUST-0008,شادی اسباب‌بازی اهواز,حمید کریمی,اهواز,خوزستان,خاص,1404/10/02,434426311
9,CUST-0009,دنیای کودک ایلام,فرشاد محمدی,ایلام,ایلام,خاص,1403/02/16,304546355
10,CUST-0010,تویز اسباب‌بازی کرمانشاه,جواد حسینی,کرمانشاه,کرمانشاه,خرده‌فروش,1403/04/11,356955563
11,CUST-0011,فانتزی پخش اسباب‌بازی ساری,جواد موسوی,ساری,مازندران,خرده‌فروش,1403/06/12,20086402
12,CUST-0012,پخش پخش اسباب‌بازی سنندج,مهدی عباسی,سنندج,کردستان,خاص,1404/11/28,485255827
13,CUST-0013,دنیای پخش اسباب‌بازی شیراز,حسین نوری,شیراز,فارس,عمده‌فروش,1403/09/05,417896893
14,CUST-0014,شادی تویز سمنان,بهرام هاشمی,سمنان,سمنان,عمده‌فروش,1404/07/19,114046164
15,CUST-0015,بازار کودک قزوین,جواد احمدی,قزوین,قزوین,خرده‌فروش,1403/11/18,99094233
16,CUST-0016,فروشگاه کودک ساری,بهرام قاسمی,ساری,مازندران,عمده‌فروش,1403/11/17,99868209
17,CUST-0017,شادی پخش اسباب‌بازی قشم,مجید رضایی,قشم,هرمزگان,عمده‌فروش,1403/09/26,159078699
18,CUST-0018,کلبه سرگرمی بندرعباس,مهدی عباسی,بندرعباس,هرمزگان,خرده‌فروش,1404/08/17,267130651
19,CUST-0019,بچه‌ها کودک بجنورد,حسین نوری,بجنورد,خراسان شمالی,عمده‌فروش,1404/05/16,221653059
20,CUST-0020,فروشگاه کودک کرج,اکبر رضایی,کرج,البرز,خرده‌فروش,1404/11/25,152702278
21,CUST-0021,شادی بازی شیراز,ناصر صادقی,شیراز,فارس,خرده‌فروش,1404/06/21,309807918
