CustomerKey,CustomerCode,ShopName,OwnerName,City,Province,CustomerType,JoinDate,CreditLimit
12,CUST-0012,پخش پخش اسباب‌بازی سنندج,مهدی عباسی,سنندج,کردستان,خاص,1404/11/28,485255827
13,CUST-0013,دنیای پخش اسباب‌بازی شیراز,حسین نوری,شیراز,فارس,عمده‌فروش,1403/09/05,417896893
34,CUST-0034,بازار تویز شیراز,محمد نوری,شیراز,فارس,خرده‌فروش,1403/08/28,474953913
35,CUST-0035,پخش سرگرمی قشم,حسین عباسی,قشم,هرمزگان,خاص,1404/08/03,483159696
44,CUST-0044,شادی پخش اسباب‌بازی گرگان,فرشاد میرزایی,گرگان,گلستان,خاص,1404/07/18,455566997
51,CUST-0051,شادی کودک اراک,اکبر هاشمی,اراک,مرکزی,خرده‌فروش,1403/11/02,485096467
56,CUST-0056,فروشگاه کودک بوشهر,مهدی محمدی,بوشهر,بوشهر,خاص,1403/04/17,461718375
68,CUST-0068,فانتزی کودک اصفهان,رضا رحیمی,اصفهان,اصفهان,خرده‌فروش,1404/04/13,403076520
70,CUST-0070,تویز اسباب‌بازی خرم‌آباد,مصطفی کریمی,خرم‌آباد,لرستان,خاص,1403/12/24,493574598
75,CUST-0075,شادی اسباب‌بازی اصفهان,حمید شریفی,اصفهان,اصفهان,خاص,1404/06/31,356360098
81,CUST-0081,شادی سرگرمی همدان,ناصر هاشمی,همدان,همدان,خرده‌فروش,1403/11/24,432920678
89,CUST-0089,کلبه کودک کرج,بهرام رحیمی,کرج,البرز,خرده‌فروش,1403/05/01,444734243
90,CUST-0090,فانتزی پخش اسباب‌بازی رشت,حمید نوری,رشت,گیلان,خرده‌فروش,1404/08/28,241385313
93,CUST-0093,تویز سرگرمی بندرعباس,مجید هاشمی,بندرعباس,هرمزگان,خرده‌فروش,1403/08/29,382784673
105,CUST-0105,شادی تویز خرم‌آباد,مصطفی رحیمی,خرم‌آباد,لرستان,خرده‌فروش,1404/03/04,454707572
116,CUST-0116,بچه‌ها پخش اسباب‌بازی زنجان,بهرام رحیمی,زنجان,زنجان,خاص,1404/04/12,437015689
119,CUST-0119,پخش اسباب‌بازی قزوین,مهدی شریفی,قزوین,قزوین,عمده‌فروش,1404/04/03,447353909
122,CUST-0122,تویز سرگرمی خرم‌آباد,فرشاد شریفی,خرم‌آباد,لرستان,خاص,1403/10/07,449084736
135,CUST-0135,شادی بازی شیراز,محمد قاسمی,شیراز,فارس,خاص,1404/10/03,472025754
138,CUST-0138,کلبه بازی کرمانشاه,مجید شریفی,کرمانشاه,کرمانشاه,خرده‌فروش,1404/03/26,354479289
140,CUST-0140,پخش پخش اسباب‌بازی قم,رضا کریمی,قم,قم,عمده‌فروش,1404/11/05,486173220
143,CUST-0143,تویز پخش اسباب‌بازی کرمانشاه,مهدی عباسی,کرمانشاه,کرمانشاه,عمده‌فروش,1404/04/06,253651767
151,CUST-0151,تویز سرگرمی مشهد,علی میرزایی,مشهد,خراسان رضوی,خرده‌فروش,1403/06/25,455050284
155,CUST-0155,کلبه اسباب‌بازی بجنورد,مجید محمدی,بجنورد,خراسان شمالی,خرده‌فروش,1403/11/17,492968722
166,CUST-0166,مرکز بازی قشم,حمید صادقی,قشم,هرمزگان,خرده‌فروش,1403/12/18,419298222
179,CUST-0179,مرکز کودک یزد,محمد قاسمی,یزد,یزد,خاص,1404/01/26,468997694
184,CUST-0184,فروشگاه کودک یاسوج,سعید قاسمی,یاسوج,کهگیلویه و بویراحمد,خاص,1404/01/02,439896283
192,CUST-0192,تویز کودک کیش,مهدی شریفی,کیش,هرمزگان,خرده‌فروش,1404/05/04,449635721
220,CUST-0220,شادی بازی همدان,بهرام حسینی,همدان,همدان,خرده‌فروش,1404/02/27,426119471
221,CUST-0221,شادی بازی سمنان,فرشاد محمدی,سمنان,سمنان,خرده‌فروش,1403/11/15,332230317
230,CUST-0230,تویز پخش اسباب‌بازی یزد,مصطفی کریمی,یزد,یزد,خرده‌فروش,1403/12/12,319257926
